2026-06-06 10:08:23,913 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:08:32,276 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:08:40,597 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:08:48,938 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:08:57,236 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:09:05,600 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:09:13,882 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:09:22,590 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:09:31,639 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:09:40,509 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:09:49,298 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:09:58,081 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:10:07,081 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:10:16,197 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:10:26,361 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:10:35,357 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:10:43,837 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:10:52,345 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:11:00,868 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:11:09,505 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:11:18,080 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:11:26,506 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:11:35,038 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:11:43,409 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:11:51,835 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:12:00,277 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:12:08,875 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:12:17,662 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:12:26,091 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:12:34,532 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:12:43,054 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:12:51,470 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:12:59,891 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:13:08,315 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:13:16,731 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:13:25,150 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:13:33,591 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:13:41,975 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:13:50,392 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:13:58,762 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:14:07,148 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:14:15,602 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:14:27,121 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:14:48,755 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:15:10,419 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:15:32,708 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:15:54,246 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:16:15,520 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:16:36,537 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:16:57,687 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:17:20,857 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:17:42,365 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:18:03,771 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:18:24,910 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:18:45,924 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:19:07,172 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:19:28,766 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:19:50,560 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:20:12,041 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:20:33,297 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:20:54,529 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:21:15,762 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:21:37,178 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:21:58,634 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:22:19,692 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:22:40,717 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:23:01,786 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:23:23,146 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:23:44,334 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:24:05,604 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:24:26,662 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:24:47,764 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:25:08,923 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:25:31,067 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:25:52,373 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:26:13,862 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:26:34,809 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:26:55,793 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:27:17,286 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:27:38,691 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:27:59,869 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:28:20,973 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:28:41,837 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:29:02,932 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:29:24,366 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:29:46,245 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:30:07,838 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:30:29,325 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:30:50,703 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:31:12,816 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:31:34,363 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:31:55,707 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:32:23,552 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:32:48,083 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:33:09,645 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:33:31,312 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:33:53,192 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:34:14,765 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:34:35,962 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:34:57,130 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:35:18,489 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:35:40,071 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:36:01,254 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:36:22,584 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:36:43,740 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:37:05,010 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:37:26,552 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:37:47,921 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:38:09,145 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:38:30,048 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:38:50,790 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:39:12,255 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:39:33,833 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:39:54,960 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:40:16,149 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:40:37,646 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:40:58,693 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:41:20,747 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:41:41,949 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:42:02,982 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:42:24,011 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:42:45,021 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:43:06,323 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:43:27,411 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:43:48,497 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:44:09,421 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:44:30,411 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:44:51,585 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:45:12,846 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:45:34,795 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:45:56,176 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:46:17,302 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:46:38,443 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:46:59,450 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:47:20,746 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:47:42,343 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:48:03,457 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:48:24,661 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:48:45,630 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:49:06,743 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:49:28,223 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:49:49,624 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:50:10,862 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:50:32,021 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:50:53,101 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:51:15,015 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:51:36,474 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:51:57,677 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:52:19,613 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:52:40,700 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:53:01,676 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:53:22,988 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:53:44,114 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:54:05,192 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:54:26,188 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:54:47,223 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:55:08,326 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:55:29,955 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:55:51,193 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:56:12,379 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:56:33,239 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:56:54,302 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:57:16,203 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:57:37,920 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:57:59,376 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:58:20,512 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:58:41,614 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
